company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_risk_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score
ADANIPORTS,2019-03,37.02517162471396,60.37528604118994,16.596914492040046,10.028031641194993,7.183321198344907,1.1370425077958313,False,5.693140794223827,,False,26930,0.19401182717408677,1661.0,4368.0,39.98169336384439,Capital Intensive,25.181928441479684,19.0,117.73913043478261,1.0,27712,6029.0,15.399601862092748,17.732092499981555,,12.301814736402505,18.36517675362346,,10.715524489384997,18.88654957871243,,71.26
ADANIPORTS,2020-03,31.8790533142424,50.08843594710688,14.868209136976077,7.660819763370977,6.113022271750893,1.1879640177554307,False,4.036391594054331,,False,29064,0.1917567065587803,6653.0,749.0,6.308430893624189,Moderate,111.87153186480579,19.0,125.4039408866995,17.0,30242,7402.0,12.052915344789161,14.053555422033593,,-1.009647005728731,10.246789703569824,,0.0,11.550670014054099,,69.21
ADANIPORTS,2021-03,40.23107569721115,69.22709163346613,16.586183108307875,9.926692409798479,6.769729961652946,1.1778522387569397,False,4.725055432372505,,False,33619,0.16827116462417205,-6508.0,14064.0,112.06374501992032,Capital Intensive,-74.90791896869244,25.0,149.95566502463055,20.0,35855,7556.0,3.4889719758043336,12.038437201046982,,11.017898337374831,12.070015891980223,,11.57215834702825,12.295510705682112,,46.05
ADANIPORTS,2022-03,28.93276476429698,55.65745662713943,11.843332297171278,7.162752350817772,5.037222357822797,1.1461944955883407,False,4.465408805031447,,False,44774,0.1741009681881051,4927.0,5493.0,32.087154623517726,Capital Intensive,51.710747271200674,23.0,198.2037914691943,22.0,47935,10420.0,16.149937942078484,15.196021711535357,,6.983450437029126,4.885683476768143,,6.575671665233052,3.8950477489882784,,67.65
ADANIPORTS,2023-03,25.85363514291195,52.498561289084975,11.8773271056864,7.6115883954140235,4.789317981930119,1.1772455881380952,False,4.771053745239103,,False,46002,0.18524737258246493,-4816.0,16716.0,80.1649721849223,Capital Intensive,-43.99378825248927,25.0,210.13425925925927,20.0,53434,11900.0,20.650487988948683,12.98928015223748,19.278694630023587,12.512597053128683,7.876933597730829,12.644252606257812,9.579370842217516,6.790716584560208,12.068872384564933,42.73
ADANIPORTS,2024-03,30.339560480700833,58.36172363445772,15.3548827162833,11.44374462092168,6.926554927819896,0.9373223691689719,False,5.949506037321624,,False,45181,0.22830109659056916,8250.0,6768.0,25.337875781513237,Capital Intensive,52.92193213163128,38.0,244.34259259259258,16.0,49470,15018.0,28.631936311849437,19.57867595245697,18.65179197239284,17.084126579285687,14.909565182041629,16.624572854327614,14.977941578896626,14.869835499703509,16.860936130231472,72.03
ADANIPOWER,2013-03,-34.294680215182304,14.34548714883443,-53.459119496855344,-0.7160215240409651,-4.1965330602691635,9.735616119263918,True,0.6899588960657663,,True,41773,0.12236688121708601,-1063.0,4064.0,60.72922893006575,Capital Intensive,-110.72916666666666,-10.0,17.939824488090263,0.0,41795,3001.0,,,,,,,,,,8.03
ADANIPOWER,2014-03,-1.8984864300626305,29.964770354906058,-4.447501146263182,5.239382163217801,-0.49541190691023,6.747669264863212,True,1.1364728495915426,,True,44035,0.2609509865676978,-1462.0,4700.0,30.66283924843424,Capital Intensive,-31.83104724580884,-1.0,22.782033426183844,0.0,44150,3238.0,,,,,,,,,,18.29
ADANIPOWER,2015-03,-4.367606915377617,25.03880533104962,-14.253275109170305,5.667069570214199,-1.3954920135444813,7.815196506550218,True,1.2060032894736843,,True,44385,0.3195095256011219,1087.0,4737.0,25.354600438901677,Capital Intensive,23.236425823001284,-3.0,19.933844011142064,0.0,44742,5824.0,,,,,,,,,,38.57
ADANIPOWER,2016-03,2.171257437837412,34.6849509398274,7.378146759507231,10.19319899662774,0.7269704725967755,7.06065881092662,True,1.5469424460431656,,False,52729,0.33481542074570547,2565.0,2692.0,10.60803089411672,Capital Intensive,29.141104294478527,2.0,22.399520095980805,0.0,52729,5257.0,55.9414072705229,,,,,,,,,51.27
ADANIPOWER,2017-03,-27.299257163070394,26.44145737530951,-205.79999999999998,5.962079157955447,-8.633636783152241,17.494666666666667,True,0.3920704845814978,,True,52320,0.31625903707121983,3513.0,1212.0,5.359037849310223,Moderate,58.745819397993316,-16.0,7.7780658542909,0.0,52484,4725.0,13.84398810447287,,,,,,,,,35.82
ADANIPOWER,2018-03,-10.35756501182033,26.773049645390074,-236.55793025871765,5.09455736728464,-3.0246807041767347,59.43194600674916,True,1.111310592459605,,True,52835,0.29202623403520883,4581.0,520.0,2.56107171000788,Asset Light,84.27152317880795,-5.0,2.3049001814882035,0.0,52835,5101.0,2.812281577801401,24.854768715819798,,,,,,,,35.46
ADANIPOWER,2019-03,-4.119912912409982,20.86333947412494,-12.759336099585061,4.081035617640605,-1.4473780981098772,6.091804979253112,True,1.313593777620647,,True,46977,0.3513127895859381,4626.0,984.0,4.119912912409982,Moderate,92.83564118001205,-3.0,19.99481462276381,0.0,46980,5610.0,-2.0008608070737233,9.27588040271312,,,,,,,,38.65
ADANIPOWER,2020-03,-8.595284872298626,21.66389602538915,-35.102607622280516,4.422827496757458,-3.032322559146951,8.517049837987965,True,1.139604891815616,,True,55196,0.3527890703098967,3294.0,2304.0,8.704851141000454,Capital Intensive,57.446808510638306,-6.0,16.80321493388644,0.0,55199,5598.0,5.382486975545575,7.214840153417179,,,,,,,,35.18
ADANIPOWER,2021-03,4.84344609282636,33.13374775942947,9.685045374818882,8.358727450024379,1.6115524198665077,4.005109433386716,False,2.0754014884449665,,False,52499,0.3327284724513362,4826.0,2188.0,8.344456733152816,Capital Intensive,55.547882136279924,3.0,33.99792584910552,0.0,52519,7014.0,8.898663210215553,0.6564928179288998,,,18.176309784358757,,,8.447177119769854,,55.64
ADANIPOWER,2022-03,17.725812854101257,35.6573201977554,26.613209080565635,10.004141889293216,5.991632207462705,2.662675407704394,False,3.3672771672771673,,False,48962,0.33801734548248985,11007.0,774.0,2.793114647612861,Asset Light,111.39560773201094,13.0,47.85325382421571,0.0,49145,10233.0,5.078785671226016,4.14712377692581,,,,,,,,70.16
ADANIPOWER,2023-03,27.666159440848016,26.038738297268715,35.90507430713616,9.403815800404287,12.499271740017011,1.4175257731958764,False,4.2927414517096585,,False,41696,0.4517891891262045,9976.0,1545.0,3.984731643153741,Moderate,98.81141045958796,28.0,77.45916515426498,0.0,42350,8431.0,13.571516896859581,13.812394373753722,19.205789190494826,,,,,,,79.53
ADANIPOWER,2024-03,41.36759945184802,36.20186292228556,48.27674122146251,18.385823227581948,22.638002804073516,0.8023177656738903,False,8.297225501770956,,False,34242,0.5472399439185297,17651.0,3481.0,6.9134674584417395,Moderate,96.83454026771999,54.0,111.86155042779363,0.0,34616,14170.0,24.294797156226156,16.086096410440966,12.629527157691523,154.07088459944453,,,162.07413942088965,,,87.78
AMBUJACEM,2012-12,13.252641296543235,25.36670427736178,14.686825053995682,21.497120921305182,10.46577561765897,0.006820506991019666,False,32.58974358974359,,False,-1521,0.7897124341838802,1472.0,388.0,3.979895373884501,Moderate,59.522846744844315,8.0,57.12337662337662,43.0,60,1860.0,,,,,,,,,,79.61
AMBUJACEM,2013-12,13.950442091474729,18.218535094422005,13.506658211794548,12.355415352260778,9.864155603581352,0.0050729232720355105,False,30.73134328358209,,False,-1666,0.7070855202222909,771.0,496.0,5.414256085580177,Moderate,46.19532654284003,8.0,61.24271844660194,44.0,48,1267.0,,,,,,,,,,75.21
AMBUJACEM,2014-12,14.937217478653944,19.427423405323957,14.766633565044687,14.063737133808393,10.714800403516357,0.0033763654419066533,False,35.65151515151515,,False,-2063,0.7173223807465052,1219.0,456.0,4.580612757408337,Moderate,63.02998965873836,10.0,64.96774193548387,46.0,34,1675.0,,,,,,,,,,76.56
